,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
1249,2018-08-31,['🇧🇷👍🏻👉🏻👉🏻'],"[0, 8]",10536,1508,2018
2997,2018-08-31,"['chegada', 'pouco', 'aeroporto', 'porto', 'velho', 'rondônia', 'obrigado', 'todos', 'consideração']","[0, 92]",12810,2799,2018
3647,2018-08-31,"['obrigado', 'consideração', 'mulherada', 'gaúcha', '👍🏻', 'logo', 'caminho', 'rondônia', '14h', 'pousaremos', 'aeroporto', 'porto', 'velho']","[0, 123]",13495,2843,2018
1815,2018-08-31,"['breve', 'resumo', 'sobre', 'passagem', 'estado', 'rio', 'grande', 'sul', 'segurança', 'economia', 'saúde', 'máquina', 'pública']","[0, 113]",7414,1455,2018
3137,2018-08-31,"['crime', 'organizado', 'ameaça', 'defende', 'liberdade', 'cidadão', 'bem', 'sistema', 'tenta', 'manter', 'pagando', 'absurdos', 'impostos', 'liberdade', 'alguma', 'sobreviver', 'nesta', 'guerra', 'perdendo', 'contextualize', 'tire', 'conclusões']","[0, 241]",7534,2064,2018
4473,2018-09-01,"['republicação', 'incorreções', 'tabela', 'anterior', 'fonte']","[0, 80]",2239,610,2018
333,2018-09-01,"['400000', 'youtube', 'inscrevase', 'canal', 'receba', 'vídeos', 'gratuitamente']","[0, 125]",2411,412,2018
2902,2018-09-01,"['comentário', 'isento', 'sobre', 'patrimônio', 'bolsonaro', 'augustosnunes', 'blogdopim', 'joicehasselmann']","[0, 125]",1196,293,2018
4683,2018-09-01,"['marcofeliciano', 'jornal', 'sujo', 'brasil', 'folha', 'paulo']","[0, 69]",2481,662,2018
5465,2018-09-01,"['2018', 'começou', 'esperávamos', 'vamos', 'adiante', '😂👍🏻', 'boa', 'noite', 'todos', 'bom', 'descanso']","[0, 85]",5006,562,2018
3883,2018-09-01,"['total', 'valores', 'devolvidos', 'jairbolsonaro', 'cota', 'parlamentar', '2010', '2017', 'aguardando', 'divulgação', 'parte', 'folha', 'demais', 'órgãos', 'imprensa', 'afins']","[0, 167]",8414,3185,2018
3458,2018-09-01,"['folha', 'tabela', 'republicada', 'daqui', 'algumas', 'horas', 'conter', 'divergências', 'faltando', 'computar', 'despesas', 'meses', 'dezembro', 'gastos', 'devem', 'acrescidos', 'pouco', '112']","[7, 187]",1024,158,2018
5406,2018-09-02,"['semana', 'passada', 'chegamos', 'mesmos', '900000', 'seguidores', 'twitter', 'nesta', 'data', 'ultrapassamos', 'marca', 'instagram', 'grato', 'todos', 'consideração']","[0, 158]",6192,855,2018
25,2018-09-03,"['campinassp', 'pouso', 'alegremg', '08032018🇧🇷']","[0, 45]",4284,854,2018
869,2018-09-04,"['domingo', '08abril', '12', 'maratona', 'rio', 'obrigado', 'rio', 'janeiro', 'participantes', 'todo', 'brasil']","[0, 97]",5307,681,2018
581,2018-09-04,"['pequeno', 'resumo', 'sobre', 'ideias', 'bolsonaro', '👍🏻']","[0, 84]",3039,614,2018
5355,2018-09-04,"['hamas', 'lá', 'ptmst', 'cá', 'mentiras', 'vitimismo', 'arma', 'propaganda', 'poder']","[0, 102]",2286,425,2018
5205,2018-09-05,"['09052018', 'entrevista', 'datenaoficial', 'sobre', 'alguns', 'temas', 'atuais', 'link', 'segue', 'logo', 'correio', 'brasiliense']","[0, 149]",1430,250,2018
