,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
13829,2018-08-31,"['vamos', 'abrir', 'mão', 'lula', 'vamos', 'últimas', 'consequências', 'compromisso', 'lula', 'termina', 'lulinha', 'subindo', 'rampa', 'palácio', 'planalto', 'afirmou', 'haddadfernando']","[0, 210]",759,248,2018
14913,2018-08-31,[],"[0, 23]",359,116,2018
4678,2018-08-31,"['nome', 'aprovado', 'convenção', 'lei', 'eleitoral', 'garante', 'candidato', 'morrer', 'renunciar', 'arrancado', 'justiça', 'eleitoral', 'pretendo', 'morrer', 'cogito', 'renunciar', 'pretendo', 'brigar', 'registro', 'final', 'lula']","[0, 273]",2352,822,2018
6585,2018-08-31,"['vice', 'lula', 'haddadfernando', 'fortaleza', 'assim', 'campanha', 'lulapresidente', 'recebida', 'terras', 'cearenses', 'foto', 'ricardo', 'stuckert']","[0, 157]",559,152,2018
10897,2018-08-31,"['leia', 'compartilhe', 'defesa', 'lula', 'apresentada', 'hoje', 'tribunal', 'superior', 'eleitoral', 'vamos', 'eleger', 'lulapresidente']","[0, 138]",1289,682,2018
10985,2018-08-31,"['vigília', 'liberdade', 'lula', 'frente', 'polícia', 'federal', 'curitiba', 'lulalivre', 'lulapresidente']","[0, 105]",2753,1008,2018
10899,2018-08-31,"['curitiba', 'recebeu', 'ontem', 'campanha', 'lulapresidente', 'cinco', 'meses', 'lula', 'preso', 'político', 'cidade', 'vê', 'dia', 'após', 'dia', 'coro', 'liberdade', 'crescer', 'lulalivrejá']","[0, 165]",570,208,2018
14063,2018-08-31,"['instituto', 'advogados', 'brasileiros', 'iab', 'fundado', '1843', 'instituições', 'máximas', 'conhecimento', 'jurídico', 'país', 'responsável', 'inclusive', 'criação', 'ordem', 'advogados', 'brasil', 'oab']","[0, 227]",223,102,2018
11135,2018-08-31,"['lula', 'haddad', 'povo', 'brasil', 'feliz', 'novo', 'assista', 'primeiro', 'comercial', 'lulapresidente']","[0, 98]",2891,960,2018
8280,2018-08-31,"['domingo', 'julho', 'caíram', 'máscaras', 'encobriam', 'ilegalidades', 'cometidas', 'contra', 'lula', 'recusaremse', 'cumprir', 'habeas', 'corpus', 'soltura', 'expresidente', 'concedido', 'desembargador', 'plantonista', 'trf4', 'diz', 'trecho', 'artigo']","[0, 267]",338,124,2018
3264,2018-08-31,"['contra', 'lula', 'tudo', 'torna', 'possível', 'flagrantes', 'atropelos', 'direito', 'defesa', 'normas', 'processuais', 'constituição', 'diz', 'nota', 'pt']","[0, 174]",821,345,2018
11141,2018-08-31,"['jogo', 'fundamento', 'democracia', 'direito', 'povo', 'escolher', 'presidente', 'haddadfernando', 'durante', 'entrevista', 'coletiva', 'fortaleza']","[0, 156]",474,125,2018
4251,2018-08-31,['onugarantelula'],"[0, 40]",317,141,2018
8204,2018-08-31,"['vice', 'lula', 'fernando', 'haddad', 'grande', 'caminhada', 'campanha', 'lulapresidente', 'centro', 'fortaleza']","[0, 130]",426,129,2018
13149,2018-08-31,"['boaventura', 'afirmou', 'deixou', 'dependências', 'polícia', 'federal', 'inspirado', 'força', 'expresidente']","[0, 127]",361,119,2018
10492,2018-08-31,"['vivo', 'tse', 'julgamento', 'registro', 'candidatura', 'lula']","[0, 88]",434,123,2018
10808,2018-08-31,"['vice', 'lula', 'fernando', 'haddad', 'grande', 'caminhada', 'campanha', 'lulapresidente', 'centro', 'fortaleza']","[0, 130]",215,48,2018
1780,2018-08-31,"['tse', 'diga', 'população', 'brasileira', 'metade', 'povo', 'brasileiro', 'quer', 'votar', 'lula', 'presidente', 'haddadfernando', 'durante', 'caminhada', 'lulapresidente', 'fortaleza']","[0, 184]",978,290,2018
14466,2018-08-31,"['vice', 'representante', 'lula', 'fernando', 'haddad', 'faz', 'entrevista', 'coletiva', 'jornalistas', 'fortaleza', 'capital']","[0, 140]",168,47,2018
13085,2018-08-31,"['curitiba', 'lulapresidente', 'centro', 'curitiba', 'tomado', 'noite', 'desta', 'quintafeira', '30', 'campanha', 'lulapresidente', 'cidade', 'onde', 'lula', 'preso', 'político', 'grito', 'liberdade', 'lulalivrejá', 'fotos', 'ricardo', 'stuckert']","[0, 231]",413,136,2018
11842,2018-08-31,"['curitiba', 'hoje', 'lulapresidente', 'foto', 'ricardo', 'stuckert']","[0, 54]",887,232,2018
11756,2018-08-31,"['vivo', 'tse', 'julgamento', 'registro', 'candidatura', 'lula']","[0, 88]",208,49,2018
4601,2018-09-01,"['dois', 'pesos', 'moro', 'absolveu', 'mulher', 'cunha', 'argumento', 'usou', 'condenar', 'lula']","[0, 113]",1259,759,2018
14823,2018-09-03,[],"[0, 23]",790,391,2018
1639,2018-09-04,"['arquibancadas', 'brasil']","[0, 30]",8394,2523,2018
6935,2018-09-04,[],"[0, 23]",285,105,2018
9607,2018-09-04,"['povo', 'lula', 'caravanas', 'todo', 'brasil', 'chegam', 'acampar', 'arredores', 'superintendência', 'polícia', 'federal', 'curitiba', 'foto', 'ricardo', 'stuckert']","[0, 156]",2705,952,2018
519,2018-09-04,[],"[0, 23]",468,159,2018
4889,2018-09-04,"['podem', 'ficar', 'certos', 'pescoço', 'aqui', 'baixa', 'mãe', 'fez', 'pescoço', 'curto', 'pra', 'baixar', 'vai', 'baixar', 'porque', 'vou', 'sair', 'lá', 'cabeça', 'erguida', 'peito', 'estufado', 'porque', 'vou', 'provar', 'inocência']","[0, 249]",2250,662,2018
5424,2018-09-04,"['lula', 'comemora', 'título', 'corinthians', 'advogado', 'cristiano', 'zanin', 'presidente', 'hoje', 'afirmou', 'lula', 'feliz', 'corinthians', 'lendo', 'bastante', 'confia', 'justiça', 'reverta', 'prisão', 'vídeo', 'ricardo', 'stuckert']","[0, 233]",2813,733,2018
4078,2018-09-04,"['vivo', 'direto', 'acampamento', 'democracia', 'curitiba']","[0, 81]",530,223,2018
2666,2018-09-05,"['lula', 'primeiro', 'presidente', 'receber', 'hansenianos', 'planalto', 'assinou', 'lei', 'pensão', 'vitalícia', 'afetados', 'doença', 'hoje', 'curitiba', 'hansenianos', 'exigir', 'libertação', 'presidente', 'reforçar', 'vínculo', 'une', 'fotos', 'cláudio', 'kbene']","[0, 271]",704,273,2018
545,2018-09-05,"['carta', 'despedida', 'lula', 'amigo', 'advogado', 'josé', 'geraldo', 'grossi']","[0, 67]",429,124,2018
12690,2018-09-06,"['mentiram', 'destruir', 'projeto', 'erradicação', 'miséria', 'colocamos', 'curso', 'partir', 'governo', 'mentiram', 'entregar', 'riquezas', 'nacionais', 'favorecer', 'detentores', 'poder', 'econômico', 'financeiro', 'escandalosa', 'traição', 'vontade', 'povo']","[0, 254]",496,183,2018
13521,2018-09-06,"['candidato', 'porque', 'acredito', 'sinceramente', 'justiça', 'eleitoral', 'manterá', 'coerência', 'precedentes', 'jurisprudência', 'desde', '2002', 'curvando', 'chantagem', 'exceção', 'ferir', 'direito', 'direito', 'eleitores', 'votar', 'melhor', 'representa']","[0, 270]",461,178,2018
9162,2018-09-06,"['provamos', 'país', 'pode', 'crescer', 'benefício', 'todos', 'governo', 'coloca', 'trabalhadores', 'pobres', 'centro', 'atenções', 'torna', 'escravo', 'interesses', 'ricos', 'poderosos']","[0, 199]",252,104,2018
13104,2018-09-06,"['milhares', 'lulas', 'contagem', 'mg', 'lulalivre', 'obrasilfelizdenovo', 'foto', 'ricardo', 'stuckert']","[0, 95]",597,206,2018
10479,2018-09-06,"['tempo', 'paz', 'prosperidade', 'nunca', 'antes', 'história', 'acredito', 'fundo', 'coração', 'brasil', 'pode', 'voltar', 'feliz', 'pode', 'avançar', 'conquistamos', 'juntos', 'governo', 'povo']","[0, 226]",267,107,2018
