,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
3166,2015-12-05,"['piores', 'pré', '1964', 'acordem', 'ainda', 'tempo']","[0, 101]",162,206,2015
572,2015-12-07,"['seguindo', 'lógica', 'autoridades', 'elaboração', 'brilhantes', 'fórmulas', 'combate', 'violência', 'segue']","[0, 135]",85,56,2015
2005,2015-12-10,"['prestando', 'contas', 'meses', 'mandato', 'deputado', 'federal', 'paulo', 'eduardo', 'bolsonaro', 'confira']","[0, 127]",136,47,2015
2701,2015-12-10,"['católico', 'filhos', 'velhos', 'batistas', 'agradeço', 'deus', 'existência', 'cada', 'pessoa', 'cerca', 'união']","[0, 135]",381,128,2015
6363,2015-12-10,"['pressão', 'senadores', 'aprovada', 'pec', 'trata', 'tb', 'voto', 'impresso', 'presidenta', 'poder', 'veto', 'pec']","[0, 140]",364,279,2015
3566,2015-12-11,"['boa', 'ironia', 'terem', 'direito', 'protestarem', 'rodovias', 'caminhoneiros', 'disfarçam', 'mst', 'via', 'joselitomuller3']","[0, 140]",280,196,2015
4369,2015-12-11,"['bolsonaro', 'recepcionado', 'aeroporto', 'cuiabá', 'oportunidade', 'falar', 'mato', 'grossenses']","[0, 122]",227,106,2015
1336,2015-12-12,"['domingo', '131215', 'leblon', 'direção', 'copacabana', 'flaviobolsonaro', 'carlosbolsonaro', 'forapt', 'brasil']","[0, 135]",347,214,2015
5162,2015-12-14,"['agradeço', 'alexborges', 'consideração', 'texto', 'escrito', 'após', 'ato', 'prol', 'impeachment', 'realizado', 'rj']","[0, 135]",210,59,2015
3273,2015-12-14,"['13122015', 'copacabana', 'importante', 'vida', 'liberdade', 'flaviobolsonaro', 'carlosbolsonaro']","[0, 138]",224,77,2015
152,2015-12-15,"['boa', 'ironia']","[0, 37]",330,180,2015
6757,2015-12-15,"['alerta', 'mp', 'exercer', 'função', 'parlamentar', 'vai', 'além', 'aprovar', 'projetos', 'tb', 'denunciar', 'sobre', 'males', 'enfrentamos']","[0, 137]",260,102,2015
4860,2015-12-15,"['ainda', 'acha', 'armas', 'pt', 'evitar', 'impeachment', 'leis', 'constituição']","[0, 136]",288,229,2015
3690,2015-12-16,"['disciplina', 'autoridade', 'educação', 'pode', 'salvar', 'brasil']","[0, 84]",217,79,2015
2910,2015-12-18,"['justiça', 'democracia']","[0, 54]",209,80,2015
3994,2015-12-18,['bolsonarofobia'],"[0, 39]",664,382,2015
2642,2015-12-18,"['polícia', 'federal', 'casa']","[0, 58]",345,169,2015
4404,2015-12-18,"['feliz', 'conversar', 'alguns', 'min', 'sara', 'winter', 'telefone', 'pessoas', 'mudam', 'conversado', 'hj', 'mãe', 'arrepende', 'mtas', 'coisas']","[0, 140]",660,312,2015
6332,2015-12-20,"['g1', 'mostra', 'pesquisa', 'presidencial', 'oglobo', 'faz', 'mesma', 'matéria', 'retirando', 'nome', 'pq']","[0, 140]",217,119,2015
2336,2015-12-20,"['hj', 'pior', 'fase', 'econômica', 'social', 'pesquisa', 'mostra', 'dilma', 'recuperando', 'popularidade', 'opinião', 'pública', 'publicada']","[0, 140]",316,200,2015
1220,2015-12-21,"['entrevista', 'bolsonaro', 'brasil', 'precisa', 'menos', 'estado', 'mercado']","[0, 96]",296,168,2015
996,2015-12-21,"['educação', 'paulo', 'freire', 'carlosbolsonaro', 'hj', 'escolas', 'máquinas', 'produzir', 'analfabetos', 'militantes', 'políticos']","[0, 140]",280,159,2015
