,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
14025,2016-01-08,"['lula', 'convoca', 'movimentos', 'sociais', 'lutar', 'democracia', 'via', 'lulapelobrasil']","[0, 99]",33,21,2016
744,2016-01-08,"['casa', 'vida', 'realizou', 'sonho', 'muita', 'gente', 'ter', 'lar', 'chamar', 'onordestemudou']","[0, 103]",59,49,2016
14453,2016-01-08,"['lula', 'convenção', 'pt', 'ceará', 'oficializa', 'candidatura', 'luizianne', 'prefeitura', 'fortaleza', 'acompanhe']","[0, 139]",29,13,2016
3678,2016-01-08,"['entenda', 'ação', 'lula', 'onu', 'importante', 'democracia', 'brasileira']","[0, 111]",52,47,2016
7197,2016-01-08,"['atenção', 'amb', 'recurso', 'onu', 'direito', 'cidadão', 'lula']","[0, 79]",51,48,2016
3858,2016-01-08,"['lula', 'dilma', 'priorizaram', 'educação', 'porque', 'melhor', 'jeito', 'incluir', 'dar', 'oportunidades', 'onordestemudou']","[0, 105]",45,32,2016
11768,2016-01-08,"['ação', 'lula', 'onu', 'repercussão', 'mundial']","[0, 69]",50,36,2016
5517,2016-01-08,"['juíza', 'condena', 'istoé', 'mentiras', 'ofensas', 'dilmabr']","[0, 77]",56,44,2016
9344,2016-01-08,"['juristas', 'divulgam', 'petição', 'defesa', 'lula', 'estado', 'direito', 'via', 'lulapelobrasil']","[0, 135]",28,14,2016
4964,2016-01-08,"['folha', 'tanto', 'batia', 'dilma', 'agora', 'afaga', 'temer']","[0, 76]",41,40,2016
3919,2016-01-08,"['manchetômetro', 'comprova', 'folha', 'tanto', 'batia', 'dilma', 'agora', 'afaga', 'temer', 'via', 'lulapelobrasil']","[0, 120]",29,34,2016
8242,2016-01-08,"['lula', 'estará', 'hoje', 'fortaleza', 'capital', 'ceará', 'mudou', 'melhor', 'últimos', '13', 'anos', 'onordestemudou']","[0, 104]",87,52,2016
3692,2016-01-08,"['mauro', 'santayana', 'ilusões', 'operação', 'mãos', 'limpas', 'via', 'lulapelobrasil']","[0, 95]",8,4,2016
3845,2016-01-08,"['lula', 'dilma', 'nordeste', 'mudou', 'melhor', 'brasil', 'inteiro', 'onordestemudou']","[0, 91]",102,69,2016
29,2016-01-09,"['dilma', 'condenaram', 'inocente', 'consumaram', 'golpe', 'parlamentar']","[0, 91]",208,161,2016
