,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
3924,2018-04-07,"['folha', 'paulo', 'publica', 'fakenews', 'respondida', 'plenário', 'câmara', 'deputados']","[0, 96]",5640,1490,2018
6740,2018-04-07,"['jair', 'bolsonaro', 'sabatina', 'presidenciáveis', 'confederação', 'nacional', 'indústria', 'assista']","[0, 116]",1902,343,2018
4368,2018-04-07,"['estardalhaço', 'equipe', 'econômica', 'feito', 'ótimo', 'trabalho', 'esclarecimento', 'focados', 'interesses', 'saudáveis', 'produtores', 'geradores', 'empregos', 'país', 'logo', 'tais', 'aproximações', 'tornamse', 'naturais']","[0, 212]",4197,867,2018
1891,2018-04-08,"['via', 'flávio', 'bolsonaro', 'parece', 'piada', 'jornalismo', 'globo', 'news', 'lamentável']","[0, 86]",8712,1855,2018
4669,2018-04-08,"['obrigado', 'assistiram', 'entrevista', 'hoje', 'globo', 'news', 'vamos', 'adiante', 'bom', 'fim', 'semana', 'todos', '🇧🇷👉']","[0, 118]",38967,4931,2018
2240,2018-04-08,"['brasil', 'quero', 'futuro']","[0, 36]",25845,7176,2018
3592,2018-04-08,"['entro', 'mérito', 'acham', 'hoje', 'comandam', 'globo', 'apenas', 'lembrei', 'disse', 'senhor', 'roberto', 'marinho', 'falecido', '2003', 'sobre', 'regime', 'militar', 'nota', 'meaculpa', 'citada', 'miriam', 'leitão', 'lançada', '10', 'anos', 'após', 'morte']","[0, 238]",33777,8052,2018
3138,2018-04-08,"['roberto', 'marinho', 'democrata', 'ditador', 'assista', 'tire', 'conclusões']","[0, 103]",7915,1378,2018
5229,2018-04-09,"['grato', 'reflexão', 'consideração', 'andrevaladao']","[0, 75]",3979,775,2018
444,2018-04-09,[],"[0, 3]",10864,2764,2018
1883,2018-04-09,"['historicamente', 'milhares', 'fraudes', 'bolsa', 'família', 'vão', 'políticos', 'curioso', 'caso', 'animal', 'doméstico', 'milhões', 'deixam', 'chegar', 'famílias', 'realmente', 'precisam', 'perpetuando', 'miséria', 'garantir', 'destinação', 'correta', 'resultará', 'grande', 'impacto', 'positivo']","[0, 280]",10734,2475,2018
3820,2018-04-09,"['chega', 'enfeites', 'palavras', 'bonitas', 'eufemismos', 'pegamos', 'pesado', 'questão', 'segurança', 'economia', 'funcione', 'país', 'prospere']","[0, 148]",15410,3665,2018
5245,2018-04-09,"['preciso', 'inverter', 'lógica', 'torno', 'programa', 'usado', 'esquerda', 'voto', 'cabresto', 'bolsa', 'família', 'renda', 'desemprego', 'bem', 'maior', 'brasil', 'eficiência', 'deve', 'medida', 'pessoas', 'deixarão', 'precisar', 'benefício']","[0, 257]",6607,1231,2018
5836,2018-04-09,"['amor', 'combate', 'ódio', 'espalhemos', 'poesia', 'preconceito']","[0, 59]",16298,4461,2018
3728,2018-04-09,"['problema', 'venezuela', 'ver', 'militar', 'ver', 'comunismo', 'ideologia', 'desprezível', 'assassina', 'conhecidamente', 'destrói', 'tudo', 'onde', 'passa', 'psdb', 'desvia', 'foco', 'problema', 'porque', 'conivente', 'todo', 'mundo', 'sabe', 'disso']","[0, 250]",20417,5755,2018
6601,2018-04-10,"['hoje', '04out', 'quintafeira', '22', 'horas', 'estarei', 'jornal', 'record', 'exclusividade', 'peço', 'assistir', 'divulgar']","[0, 118]",55741,14495,2018
3094,2018-04-10,"['essência', 'povo', 'nordestino', 'principais', 'belas', 'formas', 'diversidade', 'cultural', 'brasil', 'graças', 'homens', 'mulheres', 'brasil', 'gigante', 'hoje', 'preservando', 'valores', 'familiares', 'material', 'humano', 'natural', 'podemos', 'maiores', 'ainda']","[0, 280]",41128,8564,2018
3981,2018-04-10,"['sogro', 'crateús', 'interior', 'estado', 'ceará', 'filha', 'anos', 'sangue', 'nordestino', 'oportunismo', 'lado', 'verdade', 'vamos', 'vencer', 'mentiras', 'pt', 'colocaram', 'nordeste', 'todo', 'país', 'lama', 'tanto', 'roubar', 'povo', 'brasileiro']","[0, 273]",20287,4324,2018
6071,2018-04-10,"['desde', 'início', 'caminhada', 'demos', 'atenção', 'especial', 'nordeste', 'potencial', 'energético', 'obras', 'inacabadas', 'grave', 'crise', 'segurança', 'ceará', 'primeiro', 'estado', 'visitamos', 'além', 'vários', 'outros', 'região', 'israel', 'pude', 'ver', 'nordeste', 'pode', 'transformar']","[0, 280]",27953,5936,2018
5845,2018-04-10,"['combatendo', 'muitas', 'fraudes', 'desviam', 'dinheiro', 'precisa', 'além', 'manter', 'poderemos', 'ampliar', 'bolsa', 'família', 'vamos', 'além', 'objetivo', 'fazer', 'cada', 'vez', 'menos', 'pessoas', 'precisem', 'ajuda', 'governo', 'oferecendo', 'qualificação', 'emprego', 'dignidade']","[0, 269]",45063,10010,2018
3685,2018-04-11,"['fernando', 'henrique', 'cardoso']","[0, 26]",24949,2666,2018
1782,2018-04-11,"['gastamos', 'cerca', '20', 'vezes', 'menos', 'segundo', 'colocado', 'prefeitos', 'governadores', 'máquinas', 'todo', 'possível', 'quadro', 'mudado', 'graças', 'conexão', 'almeja', 'população', 'surge', 'novo', 'momento', 'onde', 'estado', 'servirá', 'população', 'historicamente', 'destrutivo', 'oposto']","[0, 277]",96892,14665,2018
