,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
11581,2018-04-07,"['existe', 'plano', 'candidato', 'lula', 'lulalivre', 'obrasilfelizdenovo']","[0, 79]",2332,920,2018
64,2018-04-07,[],"[0, 23]",148,61,2018
5342,2018-04-07,"['companheiro', 'mashirafael', 'soube', 'forma', 'tão', 'absurda', 'fazem', 'comigo', 'vítima', 'judicialização', 'política', 'alguns', 'juízes', 'querem', 'desqualificar', 'enquanto', 'dirigentes', 'políticos']","[0, 210]",1219,1060,2018
1294,2018-04-07,"['envio', 'solidariedade', 'mashirafael', 'segurança', 'justiça', 'finalmente', 'triunfará', 'povos', 'decidirão', 'democraticamente', 'futuro', 'países', 'américa', 'latina', 'grande', 'abraço']","[0, 204]",4333,2557,2018
11241,2018-04-07,"['tirando', 'povos', 'direito', 'decidir', 'sobre', 'destino', 'países']","[0, 90]",646,553,2018
2790,2018-04-07,"['segue', 'presidente', 'lula', 'instagram', 'siganos', 'obrasilfelizdenovo']","[0, 96]",434,141,2018
8541,2018-04-07,[],"[0, 23]",106,33,2018
9975,2018-04-07,[],"[0, 23]",236,133,2018
9304,2018-04-07,"['leia', 'íntegra', 'manifesto', 'lulalivre']","[0, 63]",443,172,2018
12592,2018-04-07,"['onu', 'irá', 'analisar', 'abusos', 'contra', 'lula', 'governo', 'brasileiro', 'pode', 'impedir', 'candidatura', 'durante', 'análise', 'entenda', 'lulalivre']","[0, 127]",1337,660,2018
12596,2018-04-07,"['preço', 'gasolina', 'após', 'ano', 'nova', 'política', 'preços', 'subiu', '40', 'gasolina', '30', 'diesel', 'enquanto', 'seguimos', 'preços', 'internacionais', 'precisar', 'refinarias', 'brasileiras', 'seguem', 'capacidade', 'ociosa', 'pagam', 'gasolina', 'geram', 'empregos', 'exterior', 'absurdo']","[0, 276]",853,344,2018
6169,2018-04-08,"['quero', 'brasília', 'dia', 'janeiro', 'ver', 'dilma', 'passando', 'faixa', 'presidencial', 'pro', 'lula', 'porque', 'vamos', 'aceitar', 'temer', 'deputadofederal', 'paulo', 'pimenta']","[0, 165]",654,183,2018
14847,2018-04-08,"['longo', 'desses', '38', 'anos', 'construímos', 'importante', 'força', 'política', 'país', 'conheceu', 'porque', 'nascemos', 'bases', 'classe', 'trabalhadora', 'cidade', 'campo', 'lutando', 'democracia', 'justiça', 'nunca', 'nunca', 'afastamos', 'povo']","[0, 256]",167,67,2018
10608,2018-04-08,[],"[0, 23]",222,66,2018
1062,2018-04-08,"['lula', 'representa', 'ideia', 'programa', 'todas', 'realizações', 'feitas', 'últimos', 'anos', 'mudar', 'país', 'lula', 'representa', 'esperança', 'mudar', 'país', 'dilmabr', 'lulacandidatosim']","[0, 183]",186,70,2018
